slot	model	status	prune	wired	tested	bun	diff
01	openai/gpt-5.4-mini-fast	NO_RESULT	False	False	False	True	0
02	openai/gpt-5.4-mini	CLAIM_PASS	True	True	True	True	42
03	openai/gpt-5.4-fast	NO_RESULT	False	False	False	True	0
04	openai/gpt-5.4	NO_RESULT	False	False	False	True	0
05	openai/gpt-5.5-fast	NO_RESULT	False	False	False	True	0
06	openai/gpt-5.5	NO_RESULT	False	False	False	True	0
07	openai/gpt-5.6-luna-fast	CLAIM_PASS	True	True	True	True	64
08	openai/gpt-5.6-luna	CLAIM_PASS	True	True	True	True	64
09	openai/gpt-5.6-sol-fast	CLAIM_PASS	True	True	True	True	78
10	openai/gpt-5.6-sol	CLAIM_PASS	True	True	True	True	70
11	openai/gpt-5.6-terra-fast	CLAIM_PASS	True	True	True	True	68
12	openai/gpt-5.6-terra	CLAIM_PASS	True	True	True	True	68
13	openai/gpt-5.3-codex-spark	CLAIM_PASS	True	True	True	True	64
14	opencode/big-pickle	CLAIM_PASS	True	True	True	True	42
15	opencode/hy3-free	CLAIM_PASS	True	True	True	True	50
16	opencode/mimo-v2.5-free	CLAIM_PASS	True	True	True	True	92
17	opencode/muse-spark-1.2-contributor-free	CLAIM_PASS	True	True	True	True	42
18	opencode/nemotron-3-ultra-free	NO_RESULT	False	False	False	True	0
19	opencode/nemotron-3.5-lightning-free	NO_RESULT	False	False	False	True	0
20	openai/gpt-5.4-mini-fast	CLAIM_PASS	True	True	True	True	64
21	openai/gpt-5.4-mini	CLAIM_PASS	True	True	True	True	46
22	openai/gpt-5.4-fast	CLAIM_PASS	True	True	True	True	64
23	openai/gpt-5.4	CLAIM_PASS	True	True	True	True	64
24	openai/gpt-5.5-fast	CLAIM_PASS	True	True	True	True	64
25	openai/gpt-5.5	CLAIM_PASS	True	True	True	True	64
26	openai/gpt-5.6-luna-fast	CLAIM_PASS	True	True	True	True	62
27	openai/gpt-5.6-luna	CLAIM_PASS	True	True	True	True	44
28	openai/gpt-5.6-sol-fast	CLAIM_PASS	True	True	True	True	60
29	openai/gpt-5.6-sol	CLAIM_PASS	True	True	True	True	72
30	openai/gpt-5.6-terra-fast	CLAIM_PASS	True	True	True	True	64
31	openai/gpt-5.6-terra	CLAIM_PASS	True	True	True	True	64
32	openai/gpt-5.3-codex-spark	CLAIM_PASS	True	True	True	True	70
33	opencode/big-pickle	CLAIM_PASS	True	True	True	True	64
34	opencode/hy3-free	CLAIM_PASS	True	True	True	True	58
35	opencode/mimo-v2.5-free	CLAIM_PASS	True	True	True	True	70
36	opencode/muse-spark-1.2-contributor-free	CLAIM_PASS	True	True	True	True	44
37	opencode/nemotron-3-ultra-free	NO_RESULT	True	False	False	True	8
38	opencode/nemotron-3.5-lightning-free	NO_RESULT	False	False	False	True	0
39	openai/gpt-5.4-mini-fast	CLAIM_PASS	True	True	True	True	72
40	openai/gpt-5.4-mini	CLAIM_PASS	True	True	True	True	66
41	openai/gpt-5.4-fast	CLAIM_PASS	True	True	True	True	64
42	openai/gpt-5.4	CLAIM_PASS	True	True	True	True	70
43	openai/gpt-5.5-fast	CLAIM_PASS	True	True	True	True	64
44	openai/gpt-5.5	CLAIM_PASS	True	True	True	True	70
45	openai/gpt-5.6-luna-fast	CLAIM_PASS	True	True	True	True	64
46	openai/gpt-5.6-luna	CLAIM_PASS	True	True	True	True	66
47	openai/gpt-5.6-sol-fast	CLAIM_PASS	True	True	True	True	62
48	openai/gpt-5.6-sol	CLAIM_PASS	True	True	True	True	64
49	openai/gpt-5.6-terra-fast	CLAIM_PASS	True	True	True	True	64
50	openai/gpt-5.6-terra	CLAIM_PASS	True	True	True	True	64
